user_id,id3_1,id3_2,id3_3,id3_4,id3_5
682351,610,875,581,619,134
142397,610,875,581,619,134
88238,610,875,581,619,134
516614,610,875,581,619,134
378817,610,875,581,619,134
831782,610,875,581,619,134
976032,610,875,581,619,134
551053,610,875,581,619,134
393557,610,875,581,619,134
65938,610,875,581,619,134
413839,610,875,581,619,134
304699,610,875,581,619,134
473777,610,875,581,619,134
727643,610,875,581,619,134
1162188,610,875,581,619,134
719520,610,875,581,619,134
459897,610,875,581,619,134
113845,610,875,581,619,134
274883,610,875,581,619,134
1052474,610,875,581,619,134
925055,610,875,581,619,134
453283,610,875,581,619,134
455355,610,875,581,619,134
47634,610,875,581,619,134
32318,610,875,581,619,134
791136,610,875,581,619,134
393734,610,875,581,619,134
326329,610,875,581,619,134
167678,610,875,581,619,134
708086,610,875,581,619,134
81794,610,875,581,619,134
626997,610,875,581,619,134
642566,610,875,581,619,134
1078522,610,875,581,619,134
93980,610,875,581,619,134
643347,610,875,581,619,134
950640,610,875,581,619,134
1093825,610,875,581,619,134
410349,610,875,581,619,134
523632,610,875,581,619,134
76019,610,875,581,619,134
159982,610,875,581,619,134
842279,610,875,581,619,134
925319,610,875,581,619,134
73731,610,875,581,619,134
610191,610,875,581,619,134
744073,610,875,581,619,134
1172217,610,875,581,619,134
91192,610,875,581,619,134
863583,610,875,581,619,134
883255,610,875,581,619,134
681760,610,875,581,619,134
1172713,610,875,581,619,134
1163601,610,875,581,619,134
941015,610,875,581,619,134
938474,610,875,581,619,134
463340,610,875,581,619,134
722306,610,875,581,619,134
67322,610,875,581,619,134
44529,610,875,581,619,134
1155970,610,875,581,619,134
978613,610,875,581,619,134
605925,610,875,581,619,134
922220,610,875,581,619,134
459175,610,875,581,619,134
892653,610,875,581,619,134
904605,610,875,581,619,134
428083,610,875,581,619,134
589057,610,875,581,619,134
311218,610,875,581,619,134
1163795,610,875,581,619,134
145307,610,875,581,619,134
670262,610,875,581,619,134
978414,610,875,581,619,134
584136,610,875,581,619,134
1152129,610,875,581,619,134
245916,610,875,581,619,134
365232,610,875,581,619,134
186928,610,875,581,619,134
1121951,610,875,581,619,134
591855,610,875,581,619,134
